entidad_federativa,programacion_de_gasto_capitulo,num_partida,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,total
Baja California,2000 Materiales y suministros,21101,0,50000,20000,10000,10000,20000,10000,10000,10000,140000
Baja California,2000 Materiales y suministros,21201,0,20000,0,10000,0,20000,0,0,0,50000
Baja California,2000 Materiales y suministros,21401,0,30000,20000,0,20000,0,10000,0,0,80000
Baja California,2000 Materiales y suministros,21601,0,10000,10000,10000,10000,10000,10000,10000,0,70000
Baja California,2000 Materiales y suministros,22104,0,30000,8000,5000,5000,5000,5000,12000,0,70000
Baja California,2000 Materiales y suministros,24601,0,25000,0,0,0,0,0,0,0,25000
Baja California,2000 Materiales y suministros,24801,0,25000,25000,0,0,0,0,0,0,50000
Baja California,2000 Materiales y suministros,26103,0,10000,8000,8000,8000,8000,8000,8000,8000,66000
Baja California,2000 Materiales y suministros,27101,0,50000,0,50000,0,0,0,0,0,100000
Baja California,2000 Materiales y suministros,29201,0,50000,5000,5000,5000,5000,5000,5000,5000,85000
Baja California,2000 Materiales y suministros,29401,0,20000,20000,20000,20000,20000,20000,0,0,120000
Baja California,3000 Servicios generales,31101,0,250000,250000,250000,250000,250000,250000,250000,250000,2000000
Baja California,3000 Servicios generales,31301,0,40000,40000,40000,40000,40000,40000,40000,40000,320000
Baja California,3000 Servicios generales,31603,0,4000,4000,4000,4000,4000,4000,4000,4000,32000
Baja California,3000 Servicios generales,31801,0,1000,1000,1000,1000,1000,1000,1000,1000,8000
Baja California,3000 Servicios generales,32201,0,864000,432000,432000,432000,432000,432000,432000,432000,3888000
Baja California,3000 Servicios generales,32301,0,200000,0,0,200000,0,0,200000,0,600000
Baja California,3000 Servicios generales,32302,0,25000,25000,25000,25000,25000,25000,25000,25000,200000
Baja California,3000 Servicios generales,33602,0,10000,10000,10000,0,0,0,0,0,30000
Baja California,3000 Servicios generales,33604,0,65000,15000,10000,0,10000,0,0,0,100000
Baja California,3000 Servicios generales,35101,0,20000,20000,20000,20000,20000,20000,20000,20000,160000
Baja California,3000 Servicios generales,35801,0,5000,5000,5000,5000,5000,5000,5000,5000,40000
Baja California,3000 Servicios generales,35901,0,7500,7500,7500,7500,7500,7500,7500,7500,60000
Baja California,3000 Servicios generales,37204,0,10000,10000,10000,5000,5000,5000,5000,0,50000
Baja California,3000 Servicios generales,37504,0,100000,50000,50000,50000,50000,50000,20000,20000,390000
Baja California,3000 Servicios generales,38201,0,50000,50000,50000,0,0,0,0,0,150000
Baja California Sur,2000 Materiales y suministros,21101,10000,5000,8000,5000,10000,10000,10000,10000,3000,71000
Baja California Sur,2000 Materiales y suministros,21201,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,21301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,21401,13000,10000,0,3000,0,20000,3000,0,0,49000
Baja California Sur,2000 Materiales y suministros,21501,5000,5000,0,0,0,5000,0,10000,0,25000
Baja California Sur,2000 Materiales y suministros,21601,3500,3500,3500,3500,3500,3500,3500,3500,3500,31500
Baja California Sur,2000 Materiales y suministros,22102,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,22103,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,22104,5500,5500,5500,5500,5500,5500,5500,5500,5500,49500
Baja California Sur,2000 Materiales y suministros,23301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,24601,0,1000,1000,1000,500,500,500,500,500,5500
Baja California Sur,2000 Materiales y suministros,24801,0,25000,25000,0,0,0,0,0,0,50000
Baja California Sur,2000 Materiales y suministros,25301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,25401,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,25501,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,25901,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,26102,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,26103,100000,300000,300000,300000,300000,300000,300000,300000,300000,2500000
Baja California Sur,2000 Materiales y suministros,26106,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,27101,0,210000,0,0,0,0,0,0,0,210000
Baja California Sur,2000 Materiales y suministros,27201,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,27401,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,27501,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,29301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,29401,0,10000,0,0,10000,0,0,0,0,20000
Baja California Sur,2000 Materiales y suministros,29601,0,5000,25555,5000,5000,25000,5000,25000,5000,100555
Baja California Sur,2000 Materiales y suministros,29801,0,0,0,0,0,0,0,0,0,0
Baja California Sur,2000 Materiales y suministros,29901,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,31101,250000,250000,250000,250000,250000,250000,250000,250000,250000,2250000
Baja California Sur,3000 Servicios generales,31201,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,31301,5000,5000,5000,5000,5000,5000,5000,5000,5000,45000
Baja California Sur,3000 Servicios generales,31603,30000,30000,30000,30000,30000,30000,30000,30000,30000,270000
Baja California Sur,3000 Servicios generales,31902,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,31904,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32201,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32302,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32401,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32502,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32503,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32504,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32505,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32601,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32902,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,32903,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33104,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33105,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33201,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33304,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33401,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33602,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33604,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33605,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33606,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33801,0,84000,84000,84000,84000,84000,84000,84000,84000,672000
Baja California Sur,3000 Servicios generales,33901,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33903,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,33904,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,35401,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,35501,0,2000,8000,2000,2000,8000,2000,8000,2000,34000
Baja California Sur,3000 Servicios generales,35801,0,75600,75600,75600,75600,75600,75600,75600,75600,604800
Baja California Sur,3000 Servicios generales,35901,0,5000,0,0,0,5000,0,0,5000,15000
Baja California Sur,3000 Servicios generales,37101,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37102,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37104,200000,200000,200000,200000,200000,200000,200000,200000,200000,1800000
Baja California Sur,3000 Servicios generales,37201,20000,20000,20000,20000,20000,20000,20000,20000,20000,180000
Baja California Sur,3000 Servicios generales,37202,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37204,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37206,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37303,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37304,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37501,750000,750000,750000,750000,750000,750000,750000,750000,750000,6750000
Baja California Sur,3000 Servicios generales,37504,134000,134000,134000,134000,134000,134000,134000,134000,134000,1206000
Baja California Sur,3000 Servicios generales,37701,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37801,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,37802,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,38201,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,39301,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,39401,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,39403,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,39801,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,39906,0,0,0,0,0,0,0,0,0,0
Baja California Sur,3000 Servicios generales,39907,0,0,0,0,0,0,0,0,0,0
Campeche,2000 Materiales y suministros,21401,8333,8333,8333,8333,8334,8333,8334,8333,8334,75000
Campeche,2000 Materiales y suministros,21601,11111,11111,11111,11111,11111,11111,11112,11111,11111,100000
Campeche,2000 Materiales y suministros,22102,11111,11111,11111,11111,11111,11111,11111,11111,11112,100000
Campeche,2000 Materiales y suministros,27101,33333,33334,33333,33334,33334,33333,33333,33333,33333,300000
Campeche,2000 Materiales y suministros,29501,13333,13334,13333,13334,13334,13333,13333,13333,13333,120000
Campeche,3000 Servicios generales,31101,111111,111111,111111,111111,111111,111111,111111,111111,111112,1000000
Campeche,3000 Servicios generales,31301,11111,11111,11111,11111,11111,11111,11111,11111,11112,100000
Campeche,3000 Servicios generales,31902,18888,18890,18889,18890,18889,18888,18889,18888,18889,170000
Campeche,3000 Servicios generales,31904,2222,2223,2222,2223,2222,2222,2222,2222,2222,20000
Campeche,3000 Servicios generales,32201,0,0,0,0,0,0,0,0,0,0
Campeche,3000 Servicios generales,33304,0,0,16666,0,0,16667,0,0,16667,50000
Campeche,3000 Servicios generales,33401,0,0,0,50000,0,0,50000,0,50000,150000
Campeche,3000 Servicios generales,33604,44444,44445,44444,44444,44445,44444,44445,44444,44445,400000
Campeche,3000 Servicios generales,33801,44444,44445,44444,44444,44445,44444,44445,44444,44445,400000
Campeche,3000 Servicios generales,35401,0,0,100000,0,0,100000,0,0,100000,300000
Campeche,3000 Servicios generales,35501,0,125000,135000,225000,0,260000,0,125000,235000,1105000
Campeche,3000 Servicios generales,35801,34444,34445,34444,34445,34445,34444,34445,34444,34444,310000
Campeche,3000 Servicios generales,35901,5555,5556,5555,5556,5556,5555,5556,5555,5556,50000
Campeche,3000 Servicios generales,37101,0,0,0,0,0,0,0,0,0,0
Campeche,3000 Servicios generales,37104,38888,38890,38888,38890,38889,38888,38890,38888,38889,350000
Campeche,3000 Servicios generales,37201,11111,11111,11111,11111,11111,11111,11111,11111,11112,100000
Campeche,3000 Servicios generales,37204,5555,5556,5555,5556,5556,5555,5556,5555,5556,50000
Campeche,3000 Servicios generales,37501,55555,55556,55555,55556,55556,55555,55556,55555,55556,500000
Campeche,3000 Servicios generales,37504,55555,55556,55555,55556,55556,55555,55556,55555,55556,500000
Chiapas,2000 Materiales y suministros,21101,35748.71677,44462.12381,36002.678,38481.33677,36002.678,36002.678,38481.33677,36002.728,13334.058,314518.3341
Chiapas,2000 Materiales y suministros,21201,28899.52,30462.52,21576.44,32508.68,21576.44,23568.2,28899.52,19561.44,0,207052.76
Chiapas,2000 Materiales y suministros,21401,10718.4,10718.4,20318.4,2143.68,10718.4,2143.68,16436.8,2143.68,10718.4,86059.84
Chiapas,2000 Materiales y suministros,21601,8679.893,9139.023,9739.023,9139.023,9739.023,9139.023,9739.023,9139.023,9932.663,84385.717
Chiapas,2000 Materiales y suministros,22104,25670.24,36298.74,36901.94,36298.74,36298.74,36298.74,36298.74,36298.74,36298.74,316663.36
Chiapas,2000 Materiales y suministros,23301,0,7542.5,0,7542.5,7542.5,7542.5,8377.7,7542.5,0,46090.2
Chiapas,2000 Materiales y suministros,24601,2234.933,2234.933,2234.933,2234.933,2234.933,2234.933,2234.933,2234.933,2234.933,20114.397
Chiapas,2000 Materiales y suministros,24801,0,0,15000,11129.04,0,15000,0,0,0,41129.04
Chiapas,2000 Materiales y suministros,25301,0,0,10798,0,0,0,0,0,0,10798
Chiapas,2000 Materiales y suministros,26103,72539.76000000001,95181.6,99145.945,73587.92,83168.6,69668.6,87302.005,73074.92,74966.24,728635.59
Chiapas,2000 Materiales y suministros,27101,66816,37584,71000,0,0,0,0,0,0,175400
Chiapas,2000 Materiales y suministros,27201,0,0,300000,0,0,0,0,0,0,300000
Chiapas,2000 Materiales y suministros,29401,59829.520000000004,6040.48,24646.72,21005.64,24646.72,7540.48,28482.84,6244.24,11508.36,189945
Chiapas,3000 Servicios generales,31101,0,180000,0,180000,0,180000,0,180000,0,720000
Chiapas,3000 Servicios generales,31301,2500,2500,2500,2500,2500,2500,2500,2500,2500,22500
